CountyId,StateId,RegionId,Male,Female,TotalPop,Poverty,CarOwnership,Unemploy,AvgCommute,AvgIncome,Obesity
1001,1,4,26745,28476,55221,12.9,87.5,7.6,26.5,51281,18.6
1003,1,4,95314,99807,195121,,84.7,,26.4,50254,19.2
1005,1,4,14497,12435,26932,26.7,83.8,17.6,24.1,32964,45.3
1007,1,4,12073,10531,22604,16.8,83.2,8.3,28.8,38678,27.9
1009,1,4,28512,29198,57710,16.7,84.9,7.7,34.9,45813,27.2
1011,1,4,5660,5018,10678,24.6,74.9,18,27.5,31938,38.4
1013,1,4,9502,10852,20354,25.4,84.5,10.9,24.6,32229,39.2
1015,1,4,56274,60374,116648,20.5,85.3,12.3,24.1,41703,31.6
1017,1,4,16258,19375,34079,21.6,85.1,8.9,25.1,34177,37.2
1019,1,4,12975,13033,26008,19.2,83.9,,27.4,36296,30.1
1021,1,4,21619,22200,43819,,81.2,9.1,32,41627,30.6
1023,1,4,6382,7013,13395,23.4,85.5,13.6,30.7,33536,34.4
1025,1,4,11834,13236,25070,24.7,82,19.4,23,32011,29.8
1027,1,4,6671,6866,13537,16.7,84.3,9.4,30.3,35327,22.5
1029,1,4,7334,7668,15002,17,77.6,8.3,33.3,38056,26.3
1031,1,4,25174,25710,50884,17.1,85.3,,20.9,46729,26.4
1033,1,4,26303,28141,54444,17.4,90.7,9,22.8,40576,26.1
1035,1,4,6176,6689,12865,33.8,93.6,22.6,29.7,24900,41.5
1037,1,4,5579,5448,11027,19.3,85.4,17,28.6,31212,27.5
1039,1,4,18339,19547,37886,20.2,83,11.2,25.5,36444,31.2
1041,1,4,6863,7075,13938,16.7,81.7,9.7,27.9,36022,19.2
1043,1,4,40081,40884,80965,18.5,,7.3,26.4,38971,25
1045,1,4,24708,25158,49866,19.1,87.4,10.9,20.4,45028,26.2
1047,1,4,19450,22704,42154,35,82.3,16.4,23.9,27306,53.8
1049,1,4,35474,35594,71068,18.7,86.1,7.7,22.8,38192,25.2
1051,1,4,39362,41401,80763,,87.1,8.3,28.5,53555,20.5
1053,1,4,19524,18411,37935,24.2,90.8,,23.1,32330,31.8
1055,1,4,50207,53559,103766,19.7,86.2,9,23.4,39220,31.7
1057,1,4,8477,8419,16896,18.3,86.5,10,28.4,34680,25.6
1059,1,4,15311,16323,31634,22.5,80.3,9.8,29,35372,38.8
1061,1,4,13174,13641,26815,23.2,81.8,11.2,25.8,36024,40.2
1063,1,4,4095,4602,8697,40.2,82.1,20.4,30.5,20541,67
1065,1,4,7183,8073,15256,,88.2,13.3,29.8,32714,38.9
1067,1,4,8259,8993,17252,15.6,85.6,8.1,26.9,41997,20.6
1069,1,4,49563,53971,103534,18.3,88.6,8.3,21.4,41571,29.9
1071,1,4,26076,26784,52860,18,88.1,10.1,25.4,37745,25.9
1073,1,4,311581,347445,659026,18.8,84.9,9.1,23.6,45610,27.8
1075,1,4,6832,7301,14133,24.1,81.8,10.2,26.2,35450,37.2
1077,1,4,44419,48318,92737,17.9,86,7.1,24.6,43125,25.7
1079,1,4,16421,17165,33586,18.7,87.9,,28.4,40003,24.6
1081,1,4,74277,76705,150982,23.8,84.6,7.3,21.7,44570,24
1083,1,4,44626,44179,88805,14.3,87.4,7.8,26.3,49570,18.5
1085,1,4,5125,5617,10742,28.5,82,13.2,29.5,25876,39.9
1087,1,4,9166,10852,20018,25.9,77.6,16.9,21.8,30738,37.9
1089,1,4,169422,177016,,13.7,86.9,8.5,20.8,57993,19.4
1091,1,4,9452,10854,20306,26.1,85.5,11.4,22.1,32042,35.5
1093,1,4,15004,15383,30387,20.1,84.9,9.9,23.9,32299,25.7
1095,1,4,46409,47909,94318,20.2,82,8.4,23.6,38983,32.9
1097,1,4,198216,216035,414251,19.3,85.9,9.8,24.4,43809,28.1
1099,1,4,10639,11578,22217,31.4,89.5,20.7,24.3,27257,40.2
1101,1,4,108296,119842,228138,22.6,84.8,8.8,19.3,44369,33.4
1103,1,4,58814,60972,119786,16.1,87.8,9.9,24.1,45751,24.3
1105,1,4,4651,5387,10038,,84.4,11.2,26.5,24537,53.9
1107,1,4,9657,10199,19856,25,82.3,13.8,29.9,30330,35.2
1109,1,4,15818,17337,33155,26.1,87.2,10.2,19.2,32825,30.3
1111,1,4,11090,11558,22648,20.4,,10.3,27.2,36924,28.3
1113,1,4,28347,29955,58302,21,85.4,11.1,24.3,37049,30.1
1115,1,4,43141,42723,85864,16,86.1,8.4,30.1,51859,22.3
1117,1,4,99134,104396,203530,8.3,85.5,5.5,28.5,70187,10.4
1119,1,4,5905,7436,13341,42.7,86.2,16.8,24.3,19501,57.1
1121,1,4,39494,41943,81437,23,84.4,13.8,24.6,35155,37.1
1123,1,4,19593,21560,41153,22.5,82.7,,24.2,39206,40.2
1125,1,4,96781,103677,200458,19.1,85.8,7.6,22.1,46565,25.5
1127,1,4,32013,33910,,22.5,84.5,11.4,30,35843,32.2
1129,1,4,8490,8507,16997,19.1,80.4,20,32.6,42811,25.7
1131,1,4,5376,5859,11235,37.7,85.7,20.8,22.6,23750,49.9
1133,1,4,11876,12254,24130,21.9,84.9,9.6,26.8,33194,37.2
2013,2,1,2198,1106,3304,16.8,18.4,2.9,4.9,61518,23.2
2016,2,1,3393,2291,5684,9.1,42.3,2.1,7.6,84306,9
2020,2,1,153122,145985,299107,8.2,75.4,6.7,19.5,78326,12.4
2050,2,1,9351,8425,17776,25.2,,17.6,7.4,51012,31
2060,2,1,553,417,970,7.2,65.6,5.4,10.4,79750,8.4
2068,2,1,1126,934,2060,12.7,43.9,2.3,17.9,81544,5.6
2070,2,1,2589,2390,4979,18.1,37.7,12.5,8.8,54173,24.6
2090,2,1,53477,46228,99705,8.1,74,7.9,19.2,71068,9.9
2100,2,1,1387,1173,2560,5.3,58.5,3,8.2,58750,4.3
2105,2,1,1129,999,2128,11.9,37.5,13.1,9,52419,29.2
2110,2,1,16645,15886,32531,6.6,68.9,5.2,15.1,85746,11
2122,2,1,29974,27247,,10,67.4,9.4,19.7,63684,11.8
2130,2,1,7038,6661,13699,12.1,63.8,7.9,13,64222,15.6
2150,2,1,7468,6505,13973,11.3,61.3,6.3,11.3,70887,12.7
2158,2,1,4200,3714,7914,33.3,5.2,28.6,5.9,38229,39.7
2164,2,1,731,743,1474,16.8,21.2,9.8,6,50781,23.5
2170,2,1,50205,45973,96178,10,72,,34,72983,12.5
2180,2,1,5272,4582,9854,27,25.8,16.5,7,48868,32.5
2185,2,1,6172,3495,9667,,20.1,9.3,8.4,72576,14.7
2188,2,1,4165,3567,7732,23.8,16.5,21.9,7.4,63648,30.2
2195,2,1,1708,1513,3221,10.2,51.8,8.4,7.5,67935,9.3
2198,2,1,3468,2908,6376,14.6,51.6,13.9,14,48523,20.2
2220,2,1,4584,4359,8943,9,57.6,3.8,11.9,70376,9.5
2230,2,1,527,472,999,,42.9,7.8,5.5,69318,2
2240,2,1,3909,3120,7029,14.5,52.3,9.4,13,62670,21.1
2261,2,1,5137,4480,9617,10.9,63.2,10.7,9.6,78810,8.9
2275,2,1,1227,1160,2387,11.8,,7.5,8.5,48603,20.4
2282,2,1,367,276,643,5.4,49.1,7.9,6.3,72500,6.5
2290,2,1,3038,2606,5644,22.4,28.7,18.2,8.6,38491,30
4001,4,5,35663,36461,72124,36.6,76.6,18.2,28.8,31757,45
4003,4,5,66100,63547,,17.9,77.6,8.7,19.3,45075,24.9
4005,4,5,67553,69148,136701,22.7,68.7,8.8,18.7,50234,26.3
4007,4,5,26436,26729,53165,22.7,77.8,12.8,21,39751,38.5
4009,4,5,20049,17358,37407,22.6,76.7,14.1,21.3,45964,29.1
4011,4,5,4748,4275,9023,13.7,80.2,10,18.5,51628,17.7
4012,4,5,10378,9957,20335,19.1,74.6,11.2,11.7,34466,33.8
4013,4,5,1986158,2031985,4018143,17,76.5,7.7,25.5,54229,24.4
4015,4,5,102371,100991,203362,19.8,78.1,13.2,19.3,38488,30.8
4017,4,5,53984,53672,107656,30.6,72,19.8,22.3,35921,40.4
4019,4,5,491108,507429,998537,19.3,76.6,10,24.4,46162,27.5
4021,4,5,202502,187270,389772,17.3,78.5,10.6,31.2,49477,25.5
4023,4,5,22566,24507,47073,23.5,81.3,11.3,21.7,40140,29.8
4025,4,5,105693,110303,,16,74,10,23.2,44748,23.4
4027,4,5,103779,99208,202987,20.7,79.6,13.1,18.9,40743,29
5001,5,4,8936,9795,18731,20.1,80.9,8.3,15.1,36411,30.4
5003,5,4,10185,11044,21229,20.7,86.3,11.8,18.5,34263,28.4
