CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,AvgAge,AvgIncome
1001,1,4,26745,28476,12.9,18.6,87.5,73.6,5.5,7.6,26.5,20.9,51,51281
1003,1,4,95314,99807,21.9,19.2,84.7,81.5,5.8,,26.4,12.3,50,50254
1005,1,4,14497,12435,26.7,45.3,83.8,71.8,7.3,17.6,24.1,20.8,32,32964
1007,1,4,12073,10531,16.8,27.9,83.2,76.8,6.7,8.3,28.8,16.1,38,38678
1009,1,4,28512,29198,16.7,27.2,84.9,82,4.2,7.7,34.9,13.5,45,45813
1011,1,4,5660,5018,24.6,38.4,74.9,79.5,5.4,18,27.5,15.1,31,31938
1013,1,4,9502,10852,25.4,39.2,84.5,77.4,6.2,10.9,24.6,16.2,32,32229
1015,1,4,56274,60374,20.5,31.6,85.3,74.1,5,12.3,24.1,20.8,41,41703
1017,1,4,16258,19375,21.6,37.2,85.1,85.1,2.8,8.9,25.1,12.1,34,-34177
1019,1,4,12975,13033,,30.1,83.9,73.1,7.9,,27.4,18.5,36,36296
1021,1,4,21619,22200,28.5,30.6,81.2,80.3,4.1,9.1,32,15.2,41,41627
1023,1,4,6382,7013,23.4,34.4,85.5,77.5,,13.6,30.7,16.8,33,33536
1025,1,4,11834,13236,24.7,29.8,82,83.1,3.3,19.4,23,13.6,32,32011
1027,1,4,6671,6866,16.7,22.5,84.3,77.5,,9.4,30.3,14.7,35,35327
1029,1,4,7334,7668,17,26.3,77.6,76.3,8.4,8.3,33.3,15.3,38,38056
1031,1,4,25174,25710,17.1,26.4,85.3,70.3,5.7,,20.9,23.5,46,46729
1033,1,4,26303,28141,17.4,26.4,90.7,78.6,5.2,9,22.8,16.1,40,40576
1035,1,4,6176,6689,33.8,41.5,93.6,77.8,8.3,22.6,29.7,13,0,24900
1037,1,4,5579,5448,19.3,27.5,85.4,76.6,5.9,17,28.6,17.5,31,31212
1039,1,4,18339,19547,20.2,31.2,83,77.1,6.7,11.2,25.5,15.8,36,36444
1041,1,4,6863,7075,16.7,19.2,81.7,74.1,7.9,9.7,27.9,17.8,36,36022
1043,1,4,40081,40884,18.5,25,84.9,81.6,5.8,7.3,26.4,12.2,38,38971
1045,1,4,24708,25158,19.1,26.2,87.4,73.1,5.9,10.9,20.4,20.9,45,45028
1047,1,4,19450,22704,35,53.8,82.3,76.6,6.2,16.4,23.9,16.7,37,27306
1049,1,4,35474,35594,18.7,25.2,86.1,78.8,8.5,7.7,22.8,12.6,38,38192
1051,1,4,39362,41401,24.7,20.5,87.1,70.4,5.5,8.3,28.5,24.1,53,53555
1053,1,4,19524,18411,24.2,31.8,90.8,74.5,6.4,,23.1,19,32,32330
1055,1,4,50207,53559,19.7,31.7,86.2,79.8,5.6,9,23.4,14.4,39,39220
1057,1,4,8477,8419,18.3,25.6,86.5,81.9,3.8,10,28.4,14.2,34,34680
1059,1,4,15311,16323,22.5,38.8,80.3,78.5,6.9,9.8,29,14.6,35,35372
1061,1,4,13174,13641,23.2,40.2,81.8,75.7,8.8,11.2,25.8,15,36,36024
1063,1,4,4095,4602,40.2,67,82.1,75.8,7,20.4,30.5,17.2,42,20541
1065,1,4,7183,8073,42.8,38.9,88.2,76.3,5.8,13.3,29.8,17.6,32,32714
1067,1,4,8259,8993,15.6,20.6,85.6,78.9,,8.1,26.9,15.5,41,41997
1069,1,4,49563,53971,18.3,29.9,88.6,81.3,5.5,8.3,21.4,13,41,41571
1071,1,4,26076,26784,18,25.9,88.1,75.1,7.7,10.1,25.4,17.1,37,37745
1073,1,4,311581,347445,18.8,27.8,84.9,80.9,4.6,9.1,23.6,14.4,45,45610
1075,1,4,6832,7301,24.1,37.2,81.8,79.6,3.9,10.2,26.2,15.5,35,35450
1077,1,4,44419,48318,17.9,25.7,86,77.3,5.8,7.1,24.6,16.7,43,43125
1079,1,4,16421,17165,18.7,24.6,87.9,80.3,5.9,,28.4,13.3,40,40003
1081,1,4,74277,76705,23.8,24,84.6,75.5,4.1,7.3,21.7,20.3,44,44570
1083,1,4,44626,44179,14.3,18.5,87.4,77.9,5.5,7.8,26.3,16.4,49,49570
1085,1,4,5125,5617,28.5,39.9,82,73.9,4.2,13.2,29.5,20.5,31,25876
1087,1,4,9166,10852,25.9,37.9,77.6,75.7,3.8,16.9,21.8,20.3,31,30738
1089,1,4,169422,177016,,19.4,86.9,75.6,,8.5,20.8,19.5,57,57993
1091,1,4,9452,10854,26.1,35.5,85.5,72.6,7.9,11.4,22.1,18.8,32,32042
1093,1,4,15004,15383,,25.7,84.9,75,8,9.9,23.9,16.5,32,32299
1095,1,4,46409,47909,20.2,32.9,82,78,7.1,8.4,23.6,14.8,38,38983
1097,1,4,198216,216035,19.3,28.1,85.9,81.4,4.6,9.8,24.4,13.8,43,43809
1099,1,4,10639,11578,31.4,40.2,89.5,77.3,4.1,20.7,24.3,18.4,31,27257
1101,1,4,108296,119842,22.6,33.4,84.8,72.6,,8.8,19.3,22.7,44,44369
1103,1,4,58814,60972,16.1,24.3,87.8,81.9,5.9,9.9,24.1,12.1,45,45751
1105,1,4,4651,5387,49.8,53.9,84.4,76.3,4.7,11.2,26.5,19,31,24537
1107,1,4,9657,10199,25,35.2,82.3,77.8,4.2,13.8,29.9,17.9,31,30330
1109,1,4,15818,17337,,30.3,87.2,75.8,5.5,10.2,19.2,18.7,32,32825
1111,1,4,11090,11558,20.4,28.3,79.8,76.4,8.9,10.3,27.2,13.9,36,36924
1113,1,4,28347,29955,21,30.1,85.4,75.5,4.2,11.1,24.3,20.3,37,37049
1115,1,4,43141,42723,16,22.3,86.1,81.6,6,8.4,30.1,12.3,51,51859
1117,1,4,99134,104396,8.3,10.4,85.5,82.6,4.8,5.5,28.5,12.5,70,70187
1119,1,4,5905,7436,42.7,57.1,86.2,71.1,5.1,16.8,24.3,23.8,0,19501
1121,1,4,39494,41943,23,37.1,84.4,77.7,5.5,13.8,24.6,16.6,35,35155
1123,1,4,19593,21560,22.5,40.2,82.7,78.4,5.5,,24.2,15.6,39,39206
1125,1,4,96781,103677,19.1,25.5,85.8,77,4,7.6,22.1,18.9,46,46565
1127,1,4,32013,33910,22.5,32.2,84.5,78.3,6.2,11.4,30,15.3,35,35843
1129,1,4,8490,8507,19.1,25.7,80.4,77.4,6,20,32.6,16.1,42,42811
1131,1,4,5376,5859,,49.9,85.7,68.9,5.1,20.8,22.6,26,31,23750
1133,1,4,11876,12254,21.9,37.2,84.9,74.3,9.6,9.6,26.8,16,33,33194
2013,2,1,2198,1106,16.8,23.2,18.4,78.6,5.9,,4.9,15.4,61,61518
2016,2,1,3393,2291,9.1,9,42.3,77.9,3.2,2.1,7.6,18.9,84,84306
2020,2,1,153122,145985,8.2,12.4,75.4,73.3,5.7,6.7,19.5,20.9,78,78326
2050,2,1,9351,8425,25.2,31,26.5,53.2,2,17.6,7.4,44.8,51,51012
2060,2,1,553,417,7.2,8.4,65.6,49.7,11.1,5.4,10.4,39.2,79,79750
2068,2,1,1126,934,12.7,5.6,43.9,66.4,7.9,2.3,17.9,24.5,81,81544
2070,2,1,2589,2390,18.1,24.6,37.7,58.5,3.7,12.5,8.8,37.8,54,54173
2090,2,1,53477,46228,8.1,9.9,74,65.8,4.1,7.9,19.2,29.9,71,71068
2100,2,1,1387,1173,5.3,4.3,58.5,69,10.3,3,8.2,19.7,58,58750
2105,2,1,1129,999,11.9,29.2,37.5,53.5,15.6,13.1,9,30.9,52,52419
2110,2,1,16645,15886,6.6,11,68.9,53.3,7.7,5.2,15.1,38.8,85,85746
2122,2,1,29974,27247,10,11.8,67.4,72.2,9.8,9.4,19.7,17.4,63,63684
2130,2,1,7038,6661,12.1,15.6,63.8,62.7,7.3,7.9,13,29.5,64,64222
2150,2,1,7468,6505,11.3,12.7,61.3,65,9.4,6.3,11.3,25.3,70,70887
2158,2,1,4200,3714,33.3,39.7,24.5,45.4,0.5,28.6,5.9,53.8,38,38229
2164,2,1,731,743,,23.5,21.2,42.2,,9.8,6,51.6,50,50781
2170,2,1,50205,45973,10,12.5,72,70.6,7.8,,34,21.5,72,72983
2180,2,1,5272,4582,27,32.5,25.8,50.6,5.2,16.5,7,44,48,48868
2185,2,1,6172,3495,12.9,14.7,20.1,73.8,0.9,9.3,8.4,25.2,72,72576
2188,2,1,4165,3567,23.8,30.2,5.4,54,2.1,21.9,-7.4,43.7,63,63648
2195,2,1,1708,1513,10.2,9.3,51.8,54.8,11.5,8.4,7.5,33.2,67,67935
2198,2,1,3468,2908,14.6,20.2,51.6,50.4,11.8,13.9,14,37.7,48,48523
2220,2,1,4584,4359,9,9.5,57.6,60.1,11.7,3.8,11.9,28.2,70,70376
2230,2,1,527,472,2.4,2,42.9,68.2,7.5,7.8,5.5,22.5,69,69318
2240,2,1,3909,3120,14.5,21.1,52.3,64,7.8,9.4,13,27.8,62,62670
2261,2,1,5137,4480,10.9,8.9,63.2,56.6,,10.7,9.6,32.9,78,78810
2275,2,1,1227,1160,11.8,20.4,58.5,54,13.4,7.5,8.5,32.5,48,48603
2282,2,1,367,276,5.4,6.5,49.1,52.8,10.1,7.9,6.3,37.1,72,72500
2290,2,1,3038,2606,22.4,30,28.7,33.3,5.1,18.2,8.6,61.7,38,38491
4001,4,5,35663,36461,36.6,45,76.6,50.2,,18.2,28.8,45,31,31757
