CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,AvgAge,AvgIncome
100,1,2,18051,19888,21.715,27.169,59.287,66.054,4.747,6.969,34.542,12.928,42.42,43262.34
101,1,2,5951,6062,12.827,12.221,70.902,71.811,4.444,8.787,21.008,17.069,51.51,52195.79
102,1,2,23329,25163,8.484,7.272,81.608,81.911,4.04,4.343,14.746,20.402,80.8,80860.6
103,1,2,7218,8677,19.594,15.453,73.225,78.477,4.343,5.353,22.018,17.574,56.56,57393.25
104,1,2,7052,7189,11.716,9.494,75.75,78.679,5.151,7.07,17.877,24.442,62.62,62930.07
105,1,2,3548,3753,5.656,5.05,73.326,69.892,4.141,11.817,15.655,26.563,60.6,61049.45
106,1,2,20600,20561,21.109,14.342,62.418,76.255,7.878,,28.583,18.685,52.52,53300.73
107,1,2,6427,7251,32.219,18.079,61.711,78.376,6.868,11.009,28.078,19.392,42.42,43115.89
108,1,2,2439,2417,15.958,,71.205,72.619,3.333,9.999,19.19,18.988,45.45,45730.78
109,1,2,4115,4570,0.808,6.363,72.417,68.983,3.636,8.282,19.392,31.411,54.54,54605.65
110,1,2,47995,48390,13.938,10.201,68.276,82.921,5.05,,27.977,15.655,60.6,61313.06
111,1,2,9049,9449,9.797,,74.336,75.245,6.464,6.262,19.998,30.199,66.66,67313.47
112,1,2,39911,40899,14.342,10.807,79.79,83.527,5.151,5.858,15.251,17.776,56.56,57439.71
113,1,2,1365,1175,19.594,15.049,42.622,65.751,1.616,18.887,38.38,17.372,40.4,40801.98
114,1,2,14902,14372,9.696,7.272,76.457,74.841,3.838,7.373,17.069,17.372,56.56,56926.63
115,1,2,4297,4539,32.421,16.261,64.034,73.326,2.424,14.948,22.018,18.079,38.38,38885
116,1,2,15193,14841,10.605,8.383,71.407,79.386,3.434,7.777,21.21,16.362,55.55,56009.55
117,1,2,4811,5406,10.504,8.181,73.831,76.053,5.454,3.939,23.028,22.927,81.81,82589.72
118,1,2,21627,23592,17.17,11.615,79.386,77.972,5.454,3.737,17.877,21.21,69.69,69712.22
119,1,2,10881,11652,7.171,7.474,82.113,64.64,2.626,7.575,11.312,14.544,75.75,76078.25
120,1,2,10396,10742,18.483,13.837,76.154,77.871,4.444,5.656,19.19,20.604,56.56,57134.69
121,1,2,4298,4185,18.079,13.938,71.205,74.841,6.868,7.676,21.715,12.423,47.47,48128.52
122,1,2,3491,3731,27.876,14.241,70.902,68.175,5.252,8.383,20.402,29.391,57.57,58315.38
123,2,5,28760,27012,18.786,13.029,74.336,88.375,7.676,5.555,21.109,26.765,51.51,51793.81
124,2,5,100805,96267,19.392,22.119,82.315,85.547,,5.858,12.423,26.664,50.5,50756.54
125,2,5,12559,14641,45.753,26.967,72.518,84.638,17.776,7.373,21.008,24.341,32.32,33293.64
126,2,5,10636,12193,28.179,16.968,77.568,84.032,8.383,6.767,16.261,29.088,38.38,39064.78
127,2,5,29489,28797,27.472,16.867,82.82,85.749,7.777,4.242,13.635,35.249,45.45,46271.13
128,2,5,5068,5716,38.784,24.846,80.295,75.649,18.18,5.454,15.251,27.775,31.31,32257.38
129,2,5,10960,9597,39.592,25.654,78.174,85.345,11.009,6.262,16.362,24.846,32.32,32551.29
130,2,5,60977,56836,31.916,20.705,74.841,86.153,12.423,5.05,21.008,24.341,41.41,42120.03
131,2,5,19568,16420,37.572,21.816,85.951,85.951,8.989,2.828,12.221,25.351,34.34,-34518.77
132,2,5,13163,13104,30.401,,73.831,84.739,,7.979,18.685,27.674,36.36,36658.96
133,2,5,22422,21835,30.906,28.785,81.103,82.012,9.191,4.141,15.352,32.32,41.41,42043.27
134,2,5,7083,6445,34.744,23.634,78.275,86.355,13.736,,16.968,31.007,33.33,33871.36
135,2,5,13368,11952,30.098,24.947,83.931,82.82,19.594,3.333,13.736,23.23,32.32,32331.11
136,2,5,6934,6737,22.725,16.867,78.275,85.143,9.494,,14.847,30.603,35.35,35680.27
137,2,5,7744,7407,26.563,17.17,77.063,78.376,8.383,8.484,15.453,33.633,38.38,38436.56
